Year,Position,Player ID,Player Name,Runs,Highest Score,Team Name
2008,1,191,Shaun Marsh,616,115,Punjab Kings
2008,2,84,Gautam Gambhir,534,86,Delhi Capitals
2008,3,342,Sanath Jayasuriya,518,114*,Mumbai Indians
2009,1,352,Matthew Hayden,572,89,Chennai Super Kings
2009,2,65,Adam Gilchrist,495,85,Deccan Chargers
2009,3,14,Suresh Raina,434,98,Chennai Super Kings
2010,1,97,Sachin Tendulkar,618,89*,Mumbai Indians
2010,2,198,Jacques Kallis,572,89*,Royal Challengers Bangalore
2010,3,14,Suresh Raina,520,83*,Chennai Super Kings
2011,1,236,Chris Gayle,608,107,Royal Challengers Bangalore
2011,2,164,Virat Kohli,557,71,Royal Challengers Bangalore
2011,3,97,Sachin Tendulkar,553,100*,Mumbai Indians
2012,1,236,Chris Gayle,733,128*,Royal Challengers Bangalore
2012,2,84,Gautam Gambhir,590,93,Kolkata Knight Riders
2012,3,41,Shikhar Dhawan,569,84,Deccan Chargers
2013,1,20,Michael Hussey,733,95,Chennai Super Kings
2013,2,236,Chris Gayle,708,175*,Royal Challengers Bangalore
2013,3,164,Virat Kohli,634,99,Royal Challengers Bangalore
2014,1,127,Robin Uthappa,660,83*,Kolkata Knight Riders
2014,2,413,Dwayne Smith,566,79,Chennai Super Kings
2014,3,282,Glenn Maxwell,552,95,Punjab Kings
2015,1,170,David Warner,562,91,Sunrisers Hyderabad
2015,2,595,Lendl Simmons,540,71,Mumbai Indians
2015,3,135,Ajinkya Rahane,540,91*,Rajasthan Royals
2016,1,164,Virat Kohli,973,113,Royal Challengers Bangalore
2016,2,170,David Warner,848,93*,Sunrisers Hyderabad
2016,3,233,AB de Villiers,687,129*,Royal Challengers Bangalore
2017,1,170,David Warner,641,126,Sunrisers Hyderabad
2017,2,84,Gautam Gambhir,498,76*,Kolkata Knight Riders
2017,3,41,Shikhar Dhawan,479,77,Sunrisers Hyderabad
2018,1,440,Kane Williamson,735,84,Sunrisers Hyderabad
2018,2,2972,Rishabh Pant,684,128*,Delhi Capitals
2018,3,1125,KL Rahul,659,95*,Punjab Kings
2019,1,170,David Warner,692,100*,Sunrisers Hyderabad
2019,2,1125,KL Rahul,593,100*,Punjab Kings
2019,3,834,Quinton de Kock,529,81,Mumbai Indians
2020,1,1125,KL Rahul,670,132*,Punjab Kings
2020,2,41,Shikhar Dhawan,618,106*,Delhi Capitals
2020,3,170,David Warner,548,85*,Sunrisers Hyderabad
2021,1,5443,Ruturaj Gaikwad,635,101*,Chennai Super Kings
2021,2,24,Faf du Plessis,633,95*,Chennai Super Kings
2021,3,1125,KL Rahul,626,98*,Punjab Kings
2022,1,509,Jos Buttler,863,116,Rajasthan Royals
2022,2,1125,K L Rahul,616,103*,Lucknow Supergiants
2022,3,834,Quinton De Kock,508,140*,Lucknow Supergiants