editionNO,Team,Team Name,coach,owner,captain
2008,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2008,DC,Delhi Capitals,Greg Shipperd,GMR Group and the JSW Group,Virender Sehwag
2008,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2008,KKR,Kolkata Knight Riders,John Buchanan,Shah Rukh Khan,Sourav Ganguly
2008,MI,Mumbai Indians,Lalchand Rajput,Reliance Industries,Sachin Tendulkar
2008,PBKS,Punjab Kings,Tom Moody,Preity Zinta,Yuvraj Singh
2008,RCB,Royal Challengers Bangalore,Martin Crowe,Vijay Mallya,Rahul Dravid
2008,RR,Rajasthan Royals,Shane Warne,Manoj Badale,Shane Warne
2009,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2009,DC,Delhi Capitals,Greg Shipperd,GMR Group and the JSW Group,Virender Sehwag
2009,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2009,KKR,Kolkata Knight Riders,John Buchanan,Shah Rukh Khan,Sourav Ganguly
2009,MI,Mumbai Indians,Lalchand Rajput,Reliance Industries,Sachin Tendulkar
2009,PBKS,Punjab Kings,Tom Moody,Preity Zinta,Yuvraj Singh
2009,RCB,Royal Challengers Bangalore,Martin Crowe,Vijay Mallya,Rahul Dravid
2009,RR,Rajasthan Royals,Shane Warne,Manoj Badale,Shane Warne
2010,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2010,DC,Delhi Capitals,Greg Shipperd,GMR Group and the JSW Group,Virender Sehwag
2010,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2010,KKR,Kolkata Knight Riders,John Buchanan,Shah Rukh Khan,Sourav Ganguly
2010,MI,Mumbai Indians,Robin Singh,Reliance Industries,Sachin Tendulkar
2010,PBKS,Punjab Kings,Tom Moody,Preity Zinta,Yuvraj Singh
2010,RCB,Royal Challengers Bangalore,Martin Crowe,Vijay Mallya,Rahul Dravid
2010,RR,Rajasthan Royals,Shane Warne,Manoj Badale,Shane Warne
2011,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2011,DC,Delhi Capitals,Greg Shipperd,GMR Group and the JSW Group,Virender Sehwag
2011,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2011,KKR,Kolkata Knight Riders, Dav Whatmore,Shah Rukh Khan,Gautam Gambhir
2011,KTK,Kochi Tuskers Kerala,Geoff Lawson,Kochi Cricket Pvt Ltd,Ravindra Jadeja
2011,MI,Mumbai Indians,Robin Singh,Reliance Industries,Sachin Tendulkar
2011,PBKS,Punjab Kings,Michael Bevan,Preity Zinta,Adam Gilchrist
2011,PWI,Pune Warriors India,Geoff Marsh,Sahara Adventure Sports Limited,Yuvraj Singh
2011,RCB,Royal Challengers Bangalore,Ray Jennings,Vijay Mallya,Daniel Vettori
2011,RR,Rajasthan Royals,Shane Warne,Manoj Badale,Shane Warne
2012,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2012,DC,Delhi Capitals,Eric Simons,GMR Group and the JSW Group,Virender Sehwag
2012,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2012,KKR,Kolkata Knight Riders, Trevor Bayliss,Shah Rukh Khan,Gautam Gambhir
2012,MI,Mumbai Indians,Robin Singh,Reliance Industries,Harbhajan Singh
2012,PBKS,Punjab Kings,Adam Gilchrist,Preity Zinta,Adam Gilchrist
2012,PWI,Pune Warriors India,Allan Donald,Sahara Adventure Sports Limited,Sourav Ganguly
2012,RCB,Royal Challengers Bangalore,Ray Jennings,Vijay Mallya,Daniel Vettori
2012,RR,Rajasthan Royals,Shane Warne,Manoj Badale,Rahul Dravid
2013,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2013,DC,Delhi Capitals,Eric Simons,GMR Group and the JSW Group,Mahela Jayawardene
2013,KKR,Kolkata Knight Riders, Trevor Bayliss,Shah Rukh Khan,Gautam Gambhir
2013,MI,Mumbai Indians,John Wright,Reliance Industries,Rohit Sharma
2013,PBKS,Punjab Kings,Darren Lehmann,Preity Zinta,David Hussey
2013,PWI,Pune Warriors India,Allan Donald,Sahara Adventure Sports Limited,Angelo Mathews
2013,RCB,Royal Challengers Bangalore,Ray Jennings,Vijay Mallya,Virat Kohli
2013,RR,Rajasthan Royals,Paddy Upton,Manoj Badale,Rahul Dravid
2013,SRH,Sunrises Hyderabad,Tom Moody,Sun Network,Shikhar Dhawan
2014,CSK,Chennai Super Kings,Stephen Fleming,India Cements,MS Dhoni
2014,DC,Delhi Capitals,Gary Kirsten,GMR Group and the JSW Group,Kevin Peterson
2014,KKR,Kolkata Knight Riders, Trevor Bayliss,Shah Rukh Khan,Gautam Gambhir
2014,MI,Mumbai Indians,John Wright,Reliance Industries,Rohit Sharma
2014,PBKS,Punjab Kings,Sanjay Bangar,Preity Zinta,George Bailey
2014,RCB,Royal Challengers Bangalore,Daniel Vettori,United Spirits Limited,Virat Kohli
2014,RR,Rajasthan Royals,Paddy Upton,Manoj Badale,Shane Watson
2014,SRH,Sunrises Hyderabad,Tom Moody,Sun Network,Shikhar Dhawan
2015,CSK,Chennai Super Kings,Stephen Fleming,India Cements,MS Dhoni
2015,DC,Delhi Capitals,Gary Kirsten,GMR Group and the JSW Group,J P Duminy
2015,KKR,Kolkata Knight Riders, Trevor Bayliss,Shah Rukh Khan,Gautam Gambhir
2015,MI,Mumbai Indians,Ricky Ponting,Reliance Industries,Rohit Sharma
2015,PBKS,Punjab Kings,Sanjay Bangar,Preity Zinta,George Bailey
2015,RCB,Royal Challengers Bangalore,Daniel Vettori,United Spirits Limited,Virat Kohli
2015,RR,Rajasthan Royals,Paddy Upton,Manoj Badale,Shane Watson
2015,SRH,Sunrises Hyderabad,Tom Moody,Sun Network,David Warner
2016,DC,Delhi Capitals,Paddy Upton,GMR Group and the JSW Group,Zaheer Khan
2016,GL,Gujarat Lions,Brad Hodge,Keshav Bansal,Suresh Raina
2016,KKR,Kolkata Knight Riders, Jacques Kallis,Shah Rukh Khan,Gautam Gambhir
2016,MI,Mumbai Indians,Ricky Ponting,Reliance Industries,Rohit Sharma
2016,PBKS,Punjab Kings,Sanjay Bangar,Preity Zinta,David Miller
2016,RCB,Royal Challengers Bangalore,Daniel Vettori,United Spirits Limited,Virat Kohli
2016,RPS,Rising Pune Super Giants,Stephen Fleming,Sanjiv Goenka,MS Dhoni
2016,SRH,Sunrises Hyderabad,Tom Moody,Sun Network,David Warner
2017,DC,Delhi Capitals,Paddy Upton,GMR Group and the JSW Group,Zaheer Khan
2017,GL,Gujarat Lions,Brad Hodge,Keshav Bansal,Suresh Raina
2017,KKR,Kolkata Knight Riders, Jacques Kallis,Shah Rukh Khan,Gautam Gambhir
2017,MI,Mumbai Indians,Mahela Jayawardene,Reliance Industries,Rohit Sharma
2017,PBKS,Punjab Kings,Pratul Maurya,Preity Zinta,Glenn Maxwell
2017,RCB,Royal Challengers Bangalore,Daniel Vettori,Diageo through United Spirits Limited,Virat Kohli
2017,RPS,Rising Pune Super Giants,Stephen Fleming,Sanjiv Goenka,MS Dhoni
2017,SRH,Sunrises Hyderabad,Tom Moody,Sun Network,David Warner
2018,CSK,Chennai Super Kings,Stephen Fleming,India Cements,MS Dhoni
2018,DC,Delhi Capitals,Ricky Ponting,GMR Group and the JSW Group,Shreyas Iyer
2018,KKR,Kolkata Knight Riders, Jacques Kallis,Shah Rukh Khan,Dinesh Karthick
2018,MI,Mumbai Indians,Mahela Jayawardene,Reliance Industries,Rohit Sharma
2018,PBKS,Punjab Kings,Brad Hodge,Preity Zinta,Ravichandran Ashwin
2018,RCB,Royal Challengers Bangalore,Simon Katich,United Spirits,Virat Kohli
2018,RR,Rajasthan Royals,Paddy Upton,Manoj Badale,Ajinkya Rahane
2018,SRH,Sunrises Hyderabad,Tom Moody,Sun Network,Kane Williamson
2019,CSK,Chennai Super Kings,Stephen Fleming,India Cements,MS Dhoni
2019,DC,Delhi Capitals,Ricky Ponting,GMR Group and the JSW Group,Shreyas Iyer
2019,KKR,Kolkata Knight Riders, Jacques Kallis,Shah Rukh Khan,Eoin Morgan
2019,MI,Mumbai Indians,Mahela Jayawardene,Reliance Industries,Rohit Sharma
2019,PBKS,Punjab Kings,Mike Hesson,Preity Zinta,KL Rahul 
2019,RCB,Royal Challengers Bangalore,Gary Kirsten,United Spirits,Virat Kohli
2019,RR,Rajasthan Royals,Paddy Upton,Manoj Badale,Ajinkya Rahane
2019,SRH,Sunrises Hyderabad,Tom Moody,Sun Network,Kane Williamson
2020,CSK,Chennai Super Kings,Stephen Fleming,India Cements,MS Dhoni
2020,DC,Delhi Capitals,Ricky Ponting,GMR Group and the JSW Group,Shreyas Iyer
2020,KKR,Kolkata Knight Riders,Brendon McCullum,Shahrukh Khan,Eoin Morgan
2020,MI,Mumbai Indians,Mahela Jayawardene,Reliance Industries,Rohit Sharma
2020,PBKS,Punjab Kings,Brad Hodge,Preity Zinta,Ravichandran Ashwin
2020,RCB,Royal Challengers Bangalore,Gary Kirsten,United Spirits,Virat Kohli
2020,RR,Rajasthan Royals,Andrew McDonald,Manoj Badale,Steve Smith
2020,SRH,Sunrises Hyderabad,Trevor Bayliss,Sun Network,Bhuvneshwar Kumar
2021,CSK,Chennai Super Kings,Stephen Fleming,India Cements,MS Dhoni
2021,DC,Delhi Capitals,Ricky Ponting,GMR Group and the JSW Group,Rishabh Pant
2021,KKR,Kolkata Knight Riders,Brendon McCullum,Shahrukh Khan,Eoin Morgan
2021,MI,Mumbai Indians,Mahela Jayawardene,Reliance Industries,Rohit Sharma
2021,PBKS,Punjab Kings,Anil Kumble,Mohit Burman,K L Rahul
2021,RCB,Royal Challengers Bangalore,Simon Katich,United Spirits,Virat Kohli
2021,RR,Rajasthan Royals,Andrew McDonald,Manoj Badale,Sanju Samson
2021,SRH,Sunrises Hyderabad,Trevor Bayliss,Sun Network, David Warner
2022,CSK,Chennai Super Kings,Stephen Fleming,India Cements,Ravindra Jadeja
2022,DC,Delhi Capitals,Ricky Ponting,GMR Group and the JSW Group,Rishabh Pant
2022,GT,Gujarat Titans,Ashish Nehra,CVC Capital Partners,Hardik Pandya
2022,KKR,Kolkata Knight Riders,Brendon McCullum,Shahrukh Khan,Shreyas Iyer
2022,LSG,Lucknow Super Giants,Andy Flower,Sanjeev Goenka,K L Rahul
2022,MI,Mumbai Indians,Mahela Jayawardene,Reliance Industries,Rohit Sharma
2022,PBKS,Punjab Kings,Anil Kumble,Preity Zinta,Mayank Agarwal
2022,RCB,Royal Challengers Bangalore,Mike Hesson,United Spirits,Virat Kohli
2022,RR,Rajasthan Royals,Kumar Sangakkara,Manoj Badale,Sanju Samson
2022,SRH,Sunrises Hyderabad,Tom Moody,Sun Network,Kane Williamson
